"SkuId","SkuPartNumber","AppliesTo","ConsumedUnits","Prepaid_Enabled","Prepaid_Suspended","Prepaid_Warning","ServicePlans"
"6470687e-a428-4b7a-bef2-8a291ad947c9","WINDOWS_STORE","Company","0","1000000","0","0","EXCHANGE_S_FOUNDATION; WINDOWS_STORE"
"f30db892-07e9-47e9-837c-80727f46fd3d","FLOW_FREE","User","1","10000","0","0","DYN365_CDS_VIRAL; EXCHANGE_S_FOUNDATION; FLOW_P2_VIRAL"
"6a62c9a4-21f1-4b50-bdbb-9281101d307a","O365DOMAINSTANDARD","Company","0","1","0","0","O365DOMAIN_STANDARD"
"4b9405b0-7788-4568-add1-99614e613b69","EXCHANGESTANDARD","User","3","3","0","0","BPOS_S_TODO_1; EXCHANGE_S_STANDARD; INTUNE_O365; M365_LIGHTHOUSE_CUSTOMER_PLAN1"
"f245ecc8-75af-4f8e-b61f-27d8114de5f3","O365_BUSINESS_PREMIUM","User","1","1","0","0","Bing_Chat_Enterprise; BPOS_S_TODO_1; CDS_O365_P2; CLIPCHAMP; Deskless; DYN365_CDS_O365_P2; DYN365BC_MS_INVOICING; EXCHANGE_S_STANDARD; FLOW_O365_P1; FORMS_PLAN_E1; GRAPH_CONNECTORS_SEARCH_INDEX; INSIGHTS_BY_MYANALYTICS; INTUNE_O365; KAIZALA_O365_P2; M365_LIGHTHOUSE_CUSTOMER_PLAN1; MCOSTANDARD; MESH_AVATARS_ADDITIONAL_FOR_TEAMS; MESH_AVATARS_FOR_TEAMS; MESH_IMMERSIVE_FOR_TEAMS; MICROSOFT_LOOP; MICROSOFT_MYANALYTICS_FULL; MICROSOFT_SEARCH; MICROSOFTBOOKINGS; MYANALYTICS_P2; Nucleus; O365_SB_Relationship_Management; OFFICE_BUSINESS; PEOPLE_SKILLS_FOUNDATION; PLACES_CORE; POWER_VIRTUAL_AGENTS_O365_P2; POWERAPPS_O365_P1; PROJECT_O365_P2; PROJECTWORKMANAGEMENT; RMS_S_BASIC; SHAREPOINTSTANDARD; SHAREPOINTWAC; STREAM_O365_SMB; SWAY; TEAMS1; VIVA_LEARNING_SEEDED; VIVAENGAGE_CORE; WHITEBOARD_PLAN1; YAMMER_ENTERPRISE"
"9c0587f3-8665-4252-a8ad-b7a5ade57312","Microsoft365_Lighthouse","Company","0","1","0","0","M365_LIGHTHOUSE_CUSTOMER_PLAN1; M365_LIGHTHOUSE_PARTNER_PLAN1"
"078d2b04-f1bd-4111-bbd4-b4b1b354cef4","AAD_PREMIUM","User","1","0","25","0","AAD_PREMIUM; ADALLOM_S_DISCOVERY; EXCHANGE_S_FOUNDATION; MFA_PREMIUM"
"3b555118-da6a-4418-894f-7df1e2096870","O365_BUSINESS_ESSENTIALS","User","3","3","0","0","Bing_Chat_Enterprise; BPOS_S_TODO_1; CDS_O365_P1; DYN365_CDS_O365_P1; EXCHANGE_S_STANDARD; FLOW_O365_P1; FORMS_PLAN_E1; GRAPH_CONNECTORS_SEARCH_INDEX; INSIGHTS_BY_MYANALYTICS; INTUNE_O365; KAIZALA_O365_P2; M365_LIGHTHOUSE_CUSTOMER_PLAN1; MCOSTANDARD; MESH_AVATARS_ADDITIONAL_FOR_TEAMS; MESH_AVATARS_FOR_TEAMS; MESH_IMMERSIVE_FOR_TEAMS; MICROSOFT_MYANALYTICS_FULL; MICROSOFT_SEARCH; MICROSOFTBOOKINGS; MYANALYTICS_P2; Nucleus; OFFICEMOBILE_SUBSCRIPTION; PEOPLE_SKILLS_FOUNDATION; PLACES_CORE; POWER_VIRTUAL_AGENTS_O365_P1; POWERAPPS_O365_P1; PROJECT_O365_P1; PROJECTWORKMANAGEMENT; RMS_S_BASIC; SHAREPOINTSTANDARD; SHAREPOINTWAC; STREAM_O365_SMB; SWAY; TEAMS1; VIVA_LEARNING_SEEDED; VIVAENGAGE_CORE; WHITEBOARD_PLAN1; YAMMER_ENTERPRISE"
